x,y,talk
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,N: But that doesn't-
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,
548,406,T: Keith?
548,406,
548,408,
548,409,
548,409,
548,409,
547,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,N: that doesn't necessarily mean that six is odd
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,T: Why not Keith?
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,"N: because- just because you need two odd numbers to add up to an even number doesn't mean it has to be odd, you know what I mean."
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,409,
546,410,
546,413,
545,414,
545,414,
545,414,
544,415,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
543,417,
541,419,
541,420,
541,420,
541,420,
541,420,
541,420,
541,420,
541,420,
541,420,
541,421,
541,421,
541,421,
541,421,
541,421,
541,424,
541,424,
541,426,
541,427,
540,429,
540,430,
539,431,
539,432,
538,434,
537,437,
536,438,
534,441,
534,441,
533,442,
531,445,
531,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,"T: What's the definition- What's our work- Sean, what's our working definition of an even number? Do you remember from the other day the working definition we're using? What is it?"
530,446,
530,446,
530,446,
530,446,
530,446,
530,446,
530,447,
530,448,
530,448,
530,448,
530,448,
530,451,
530,451,
530,451,
530,451,
530,453,
531,455,
533,456,
534,457,
534,457,
534,457,
534,458,
534,458,
535,462,
535,462,
535,462,
535,464,
535,467,
535,468,
535,472,
535,475,
535,477,
535,477,
535,479,
535,480,
536,482,
536,484,
537,484,
537,484,
537,485,
537,488,
537,488,
537,491,
538,494,
538,494,
538,495,
538,497,
538,498,
538,500,
538,500,
538,500,
538,503,
538,504,
538,504,
538,505,
538,507,
537,510,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,S: It's that- I forgot.
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
536,512,
